,slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
0,adamsst01,Steven Adams,[<Position.CENTER: 'CENTER'>],26,Team.OKLAHOMA_CITY_THUNDER,12,316,16.2,0.537,0.0,0.356,11.7,24.3,18.2,16.3,0.9,2.1,15.2,16.5,0.4,0.4,0.8,0.121,-1.0,2.5,1.5,0.3
1,adebaba01,Bam Adebayo,[<Position.CENTER: 'CENTER'>],22,Team.MIAMI_HEAT,14,451,21.5,0.637,0.051,0.718,9.0,26.9,18.6,21.1,2.6,4.1,19.4,18.1,1.1,1.1,2.2,0.235,1.1,6.0,7.1,1.0
2,aldrila01,LaMarcus Aldridge,[<Position.CENTER: 'CENTER'>],34,Team.SAN_ANTONIO_SPURS,16,522,19.8,0.572,0.106,0.22,6.7,15.8,11.1,11.3,0.7,4.7,9.8,22.1,1.0,0.2,1.2,0.115,0.6,0.1,0.7,0.4
3,alexani01,Nickeil Alexander-Walker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21,Team.NEW_ORLEANS_PELICANS,15,226,7.4,0.441,0.536,0.091,0.9,15.8,8.2,21.4,1.0,0.8,14.9,24.1,-0.3,0.1,-0.2,-0.049,-3.8,-2.6,-6.4,-0.2
4,allengr01,Grayson Allen,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.MEMPHIS_GRIZZLIES,5,84,6.2,0.459,0.543,0.343,1.3,11.6,6.4,13.1,1.1,0.0,14.8,23.3,-0.1,0.0,-0.1,-0.065,-4.1,-4.0,-8.1,-0.1
5,allenja01,Jarrett Allen,[<Position.CENTER: 'CENTER'>],21,Team.BROOKLYN_NETS,15,384,19.4,0.663,0.011,0.602,11.8,26.0,19.0,5.0,1.1,4.3,14.5,14.7,0.9,0.5,1.4,0.179,-0.6,1.9,1.2,0.3
6,aminual01,Al-Farouq Aminu,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29,Team.ORLANDO_MAGIC,14,302,8.7,0.441,0.4,0.385,6.9,19.4,12.9,6.1,2.0,1.7,15.6,12.9,-0.2,0.5,0.3,0.049,-4.3,2.2,-2.0,0.0
7,anderky01,Kyle Anderson,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26,Team.MEMPHIS_GRIZZLIES,14,294,15.0,0.566,0.197,0.342,4.7,18.7,11.6,17.4,1.6,3.2,12.1,14.0,0.4,0.2,0.6,0.102,-0.7,1.4,0.7,0.2
8,anderry01,Ryan Anderson,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31,Team.HOUSTON_ROCKETS,2,14,9.9,0.357,0.714,0.0,0.0,50.7,25.4,20.8,3.3,0.0,12.5,23.1,0.0,0.0,0.0,-0.021,-6.5,2.2,-4.3,0.0
9,antetgi01,Giannis Antetokounmpo,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25,Team.MILWAUKEE_BUCKS,15,495,31.9,0.618,0.238,0.586,7.6,32.9,20.8,35.1,2.1,3.6,16.5,35.8,1.7,1.2,2.9,0.278,6.9,5.3,12.2,1.8
