Year,Player,Age,G,MP,PER,TS%,WS,VORP,FG%,FT%,TRB,AST,STL,BLK,PTS,PPG,RPG,APG,SPG,BPG,MVP
1985,Kareem Abdul-Jabbar*,37,79,2630,22.9,0.628,11.2,4.6,0.599,0.732,622,249,63,162,1735,21.962025316455698,7.8734177215189876,3.151898734177215,0.7974683544303798,2.050632911392405,0
1985,Alvan Adams,30,82,2136,19.8,0.578,6.8,3.5,0.52,0.883,500,308,115,48,1202,14.658536585365853,6.097560975609756,3.7560975609756095,1.4024390243902438,0.5853658536585366,0
1985,Mark Aguirre,25,80,2699,21.3,0.563,7.2,2.5,0.506,0.759,477,249,60,24,2055,25.6875,5.9625,3.1125,0.75,0.3,0
1985,Danny Ainge,25,75,2564,14.2,0.57,6.6,2.4,0.529,0.868,268,399,122,6,971,12.946666666666667,3.5733333333333333,5.32,1.6266666666666667,0.08,0
1985,Chuck Aleksinas,25,74,1114,9.1,0.509,0.4,-1.1,0.478,0.733,270,36,15,15,377,5.094594594594595,3.6486486486486487,0.4864864864864865,0.20270270270270271,0.20270270270270271,0
1985,J.J. Anderson,24,44,457,8.2,0.441,0.2,-0.1,0.409,0.6,82,21,29,9,149,3.3863636363636362,1.8636363636363635,0.4772727272727273,0.6590909090909091,0.20454545454545456,0
1985,Ron Anderson,26,36,520,10.7,0.484,0.3,-0.2,0.431,0.82,88,34,9,7,210,5.833333333333333,2.4444444444444446,0.9444444444444444,0.25,0.19444444444444445,0
1985,John Bagley,24,81,2401,16,0.524,4.6,1.5,0.488,0.7490000000000001,291,697,129,5,804,9.925925925925926,3.5925925925925926,8.604938271604938,1.5925925925925926,0.06172839506172839,0
1985,James Bailey,27,74,1297,7.9,0.485,0.6,-0.7,0.447,0.6759999999999999,344,39,30,50,385,5.202702702702703,4.648648648648648,0.527027027027027,0.40540540540540543,0.6756756756756757,0
1985,Thurl Bailey,23,80,2481,14.7,0.5329999999999999,5.4,1.2,0.49,0.8420000000000001,525,138,51,105,1212,15.15,6.5625,1.725,0.6375,1.3125,0
1985,Greg Ballard,30,82,2664,14.3,0.513,6,2.1,0.48,0.795,531,208,100,33,1072,13.073170731707316,6.475609756097561,2.5365853658536586,1.2195121951219512,0.4024390243902439,0
1985,Gene Banks,25,82,2091,14.5,0.642,5.6,2,0.586,0.774,445,234,65,13,778,9.487804878048781,5.426829268292683,2.8536585365853657,0.7926829268292683,0.15853658536585366,0
1985,Ken Bannister,24,75,1404,7.3,0.48100000000000004,-0.8,-1.4,0.47,0.474,330,39,38,40,509,6.786666666666667,4.4,0.52,0.5066666666666667,0.5333333333333333,0
1985,Charles Barkley*,21,82,2347,18.3,0.599,7.5,3.2,0.545,0.733,703,155,95,80,1148,14,8.573170731707316,1.8902439024390243,1.1585365853658536,0.975609756097561,0
1985,Kent Benson,30,72,1401,12.6,0.545,3.3,1,0.506,0.809,324,93,53,44,478,6.638888888888889,4.5,1.2916666666666667,0.7361111111111112,0.6111111111111112,0
1985,Larry Bird*,28,80,3161,26.5,0.585,15.7,8.4,0.522,0.882,842,531,129,98,2295,28.6875,10.525,6.6375,1.6125,1.225,1
1985,Otis Birdsong,29,56,1842,18.1,0.534,4.2,1.1,0.511,0.622,148,232,84,7,1155,20.625,2.642857142857143,4.142857142857143,1.5,0.125,0
1985,Rolando Blackman,25,81,2834,17.7,0.5660000000000001,7.3,1.9,0.508,0.828,300,289,61,16,1598,19.728395061728396,3.7037037037037037,3.567901234567901,0.7530864197530864,0.19753086419753085,0
1985,Cory Blackwell,21,60,551,6.4,0.387,-0.9,-0.9,0.36700000000000005,0.509,96,26,25,3,202,3.3666666666666667,1.6,0.43333333333333335,0.4166666666666667,0.05,0
1985,Sam Bowie,23,76,2216,15.7,0.578,5.7,3.1,0.537,0.711,656,215,55,203,758,9.973684210526315,8.631578947368421,2.8289473684210527,0.7236842105263158,2.6710526315789473,0
1985,Dudley Bradley,27,73,1232,12.2,0.536,2.4,0.9,0.475,0.684,134,173,96,21,358,4.904109589041096,1.8356164383561644,2.3698630136986303,1.3150684931506849,0.2876712328767123,0
1985,Mike Bratz,29,56,746,12.8,0.502,0.8,-0.3,0.424,0.841,58,122,47,4,287,5.125,1.0357142857142858,2.1785714285714284,0.8392857142857143,0.07142857142857142,0
1985,Randy Breuer,24,78,1083,13.4,0.5539999999999999,3,0.4,0.511,0.701,256,40,21,82,413,5.294871794871795,3.282051282051282,0.5128205128205128,0.2692307692307692,1.0512820512820513,0
1985,Ron Brewer,29,20,326,13.3,0.57,0.8,-0.1,0.525,0.92,21,17,6,6,147,7.35,1.05,0.85,0.3,0.3,0
1985,Ron Brewer,29,9,81,6.9,0.445,0,-0.2,0.382,1,3,6,1,1,33,3.6666666666666665,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.1111111111111111,0
1985,Ron Brewer,29,11,245,15.5,0.62,0.8,0.1,0.583,0.889,18,11,5,5,114,10.363636363636363,1.6363636363636365,1,0.45454545454545453,0.45454545454545453,0
1985,Frank Brickowski,25,78,1115,10.5,0.5329999999999999,1,-0.2,0.49200000000000005,0.669,260,100,34,15,385,4.935897435897436,3.3333333333333335,1.2820512820512822,0.4358974358974359,0.19230769230769232,0
1985,Junior Bridgeman,31,80,2042,14.8,0.516,3.1,-0.3,0.465,0.879,230,171,47,18,1115,13.9375,2.875,2.1375,0.5875,0.225,0
1985,Rickey Brown,26,69,814,7.5,0.439,0.4,-0.5,0.406,0.574,223,25,19,22,195,2.8260869565217392,3.2318840579710146,0.36231884057971014,0.2753623188405797,0.3188405797101449,0
1985,Tony Brown,24,82,1586,10.8,0.503,1.8,0.3,0.46,0.6779999999999999,288,159,59,12,544,6.634146341463414,3.5121951219512195,1.9390243902439024,0.7195121951219512,0.14634146341463414,0
1985,Wallace Bryant,25,56,860,10.3,0.49,1.3,0.4,0.45299999999999996,0.682,241,84,21,24,164,2.9285714285714284,4.303571428571429,1.5,0.375,0.42857142857142855,0
1985,Quinn Buckner,30,75,858,7.5,0.419,0.5,-0.2,0.38299999999999995,0.64,87,148,63,2,180,2.4,1.16,1.9733333333333334,0.84,0.02666666666666667,0
