Year,Player,Age,G,MP,PER,TS%,WS,VORP,FG%,FT%,TRB,AST,STL,BLK,PTS,PPG,RPG,APG,SPG,BPG
2018,Alex Abrines\abrinal01,24,75,1132.5,9,0.5670000000000001,2.2,-0.1,0.395,0.848,112.5,30,37.5,7.5,352.5,4.7,1.5,0.4,0.5,0.1
2018,Quincy Acy\acyqu01,27,70,1358,8.2,0.525,1,-0.1,0.35600000000000004,0.8170000000000001,259,56,35,28,413,5.9,3.7,0.8,0.5,0.4
2018,Steven Adams\adamsst01,24,76,2485.2000000000003,20.6,0.63,9.7,3.3,0.629,0.557,684,91.2,91.2,76,1056.4,13.9,9,1.2,1.2,1
2018,Bam Adebayo\adebaba01,20,69,1366.2,15.7,0.57,4.2,0.8,0.512,0.721,379.5,103.5,34.5,41.4,476.1,6.9,5.5,1.5,0.5,0.6
2018,Arron Afflalo\afflaar01,32,53,683.7,5.8,0.516,0.1,-0.7,0.401,0.846,63.599999999999994,31.799999999999997,5.300000000000001,10.600000000000001,180.2,3.4,1.2,0.6,0.1,0.2
2018,Cole Aldrich\aldrico01,29,21,48.3,6,0.34,0,-0.1,0.33299999999999996,0.33299999999999996,14.7,2.1,2.1,0,12.6,0.6,0.7,0.1,0.1,0
2018,LaMarcus Aldridge\aldrila01,32,75,2512.5,25,0.57,10.9,3.3,0.51,0.8370000000000001,637.5,150,45,90,1732.5,23.1,8.5,2,0.6,1.2
2018,Jarrett Allen\allenja01,19,72,1440,17.5,0.636,4.2,0.8,0.589,0.7759999999999999,388.8,50.4,28.8,86.39999999999999,590.4,8.2,5.4,0.7,0.4,1.2
2018,Kadeem Allen\allenka01,25,18,106.2,2.6,0.366,-0.1,-0.1,0.273,0.778,10.799999999999999,12.6,3.6,1.8,19.8,1.1,0.6,0.7,0.2,0.1
2018,Tony Allen\allento01,36,22,272.8,8.7,0.514,0.1,-0.2,0.484,0.524,46.2,8.8,11,2.2,103.4,4.7,2.1,0.4,0.5,0.1
2018,Al-Farouq Aminu\aminual01,27,69,2070,12,0.522,4.2,1.6,0.395,0.738,524.4,82.8,75.9,41.4,641.7,9.3,7.6,1.2,1.1,0.6
2018,Justin Anderson\anderju01,24,38,520.6,13,0.54,1.2,0,0.431,0.737,91.2,26.599999999999998,15.200000000000001,7.6000000000000005,235.6,6.2,2.4,0.7,0.4,0.2
