,0,1
0,0.87,0.13
1,0.79,0.21
2,0.86,0.14
3,0.89,0.11
4,0.92,0.08
5,0.86,0.14
6,0.87,0.13
7,0.88,0.12
8,0.92,0.08
9,0.37,0.63
10,1.0,0.0
11,1.0,0.0
12,0.84,0.16
13,0.84,0.16
14,0.88,0.12
15,0.88,0.12
16,0.92,0.08
17,0.87,0.13
18,0.95,0.05
19,0.87,0.13
20,0.87,0.13
21,1.0,0.0
22,0.86,0.14
23,0.84,0.16
24,0.86,0.14
25,0.96,0.04
26,0.81,0.19
27,0.83,0.17
28,0.85,0.15
29,0.86,0.14
30,0.87,0.13
31,0.88,0.12
32,0.94,0.06
33,0.87,0.13
34,0.86,0.14
35,0.84,0.16
36,0.95,0.05
37,0.93,0.07
38,0.86,0.14
39,0.83,0.17
40,0.84,0.16
41,0.87,0.13
42,0.84,0.16
43,1.0,0.0
44,1.0,0.0
45,0.87,0.13
46,0.83,0.17
47,0.87,0.13
48,1.0,0.0
49,0.87,0.13
50,0.87,0.13
51,0.86,0.14
52,1.0,0.0
53,1.0,0.0
54,0.87,0.13
55,0.86,0.14
56,1.0,0.0
57,0.79,0.21
58,0.87,0.13
59,0.85,0.15
60,1.0,0.0
61,0.8,0.2
62,1.0,0.0
63,0.86,0.14
64,0.92,0.08
65,0.89,0.11
66,0.87,0.13
67,0.92,0.08
68,0.86,0.14
69,0.95,0.05
70,0.62,0.38
71,0.87,0.13
72,0.87,0.13
73,1.0,0.0
74,0.86,0.14
75,0.96,0.04
76,0.87,0.13
77,0.86,0.14
78,0.84,0.16
79,0.87,0.13
80,0.87,0.13
81,0.88,0.12
82,0.83,0.17
83,0.92,0.08
84,0.86,0.14
85,0.84,0.16
86,0.87,0.13
87,0.92,0.08
88,0.97,0.03
89,0.91,0.09
90,0.95,0.05
91,0.84,0.16
92,0.87,0.13
93,0.87,0.13
94,1.0,0.0
95,0.87,0.13
96,0.87,0.13
97,0.87,0.13
98,0.87,0.13
99,0.88,0.12
100,0.9,0.1
101,0.87,0.13
102,0.67,0.33
103,0.91,0.09
104,0.88,0.12
105,0.85,0.15
106,0.87,0.13
107,0.84,0.16
108,1.0,0.0
109,0.85,0.15
110,0.84,0.16
111,0.87,0.13
112,0.87,0.13
113,0.59,0.41
114,0.88,0.12
115,0.84,0.16
116,0.83,0.17
117,1.0,0.0
118,0.84,0.16
119,0.87,0.13
120,0.86,0.14
121,0.79,0.21
122,0.88,0.12
123,1.0,0.0
124,0.95,0.05
125,1.0,0.0
126,0.88,0.12
127,0.88,0.12
128,0.86,0.14
129,0.87,0.13
130,0.87,0.13
131,0.89,0.11
132,0.88,0.12
133,0.86,0.14
134,1.0,0.0
135,0.87,0.13
136,0.87,0.13
137,0.92,0.08
138,1.0,0.0
139,0.81,0.19
140,0.84,0.16
141,0.89,0.11
142,0.86,0.14
143,0.87,0.13
144,0.87,0.13
145,1.0,0.0
146,0.84,0.16
147,0.75,0.25
148,0.87,0.13
149,0.85,0.15
150,0.86,0.14
151,0.87,0.13
152,0.87,0.13
153,0.86,0.14
154,0.89,0.11
155,0.88,0.12
156,0.9,0.1
157,0.84,0.16
158,0.97,0.03
159,0.87,0.13
160,0.87,0.13
161,1.0,0.0
162,0.88,0.12
163,0.7,0.3
164,0.87,0.13
165,1.0,0.0
166,0.8,0.2
167,0.86,0.14
168,0.84,0.16
169,0.85,0.15
170,0.92,0.08
171,0.86,0.14
172,1.0,0.0
173,0.85,0.15
174,0.81,0.19
175,0.98,0.02
176,1.0,0.0
177,0.95,0.05
178,0.89,0.11
179,0.85,0.15
180,0.87,0.13
181,0.84,0.16
182,0.86,0.14
183,1.0,0.0
184,0.87,0.13
185,0.86,0.14
186,0.83,0.17
187,0.92,0.08
188,0.84,0.16
189,0.86,0.14
190,0.83,0.17
191,0.85,0.15
192,0.84,0.16
193,0.88,0.12
194,0.87,0.13
195,0.91,0.09
196,0.86,0.14
197,0.86,0.14
198,0.84,0.16
199,0.83,0.17
200,0.77,0.23
201,0.85,0.15
202,0.98,0.02
203,0.87,0.13
204,0.87,0.13
205,0.91,0.09
206,0.96,0.04
207,1.0,0.0
208,0.66,0.34
209,0.99,0.01
210,0.98,0.02
211,0.86,0.14
212,0.9,0.1
213,0.95,0.05
214,0.87,0.13
215,0.85,0.15
216,0.85,0.15
217,0.9,0.1
218,0.89,0.11
219,0.83,0.17
220,0.87,0.13
221,0.98,0.02
222,0.87,0.13
223,0.96,0.04
224,0.86,0.14
225,1.0,0.0
226,0.98,0.02
227,0.86,0.14
228,0.98,0.02
229,0.86,0.14
230,1.0,0.0
231,0.87,0.13
232,0.88,0.12
233,0.86,0.14
234,0.92,0.08
235,0.88,0.12
236,0.86,0.14
237,0.92,0.08
238,1.0,0.0
239,0.84,0.16
240,0.87,0.13
241,0.87,0.13
242,1.0,0.0
243,0.87,0.13
244,0.87,0.13
245,0.72,0.28
246,0.85,0.15
247,0.86,0.14
248,0.45,0.55
249,0.95,0.05
250,0.98,0.02
251,0.84,0.16
252,0.85,0.15
253,0.83,0.17
254,0.79,0.21
255,0.87,0.13
256,1.0,0.0
257,1.0,0.0
258,0.86,0.14
259,0.91,0.09
260,0.92,0.08
261,0.85,0.15
262,0.92,0.08
263,0.87,0.13
264,1.0,0.0
265,0.99,0.01
266,0.86,0.14
267,0.91,0.09
268,0.84,0.16
269,0.85,0.15
270,1.0,0.0
271,0.85,0.15
272,0.84,0.16
273,0.9,0.1
274,0.98,0.02
275,0.92,0.08
276,0.88,0.12
277,0.96,0.04
278,0.87,0.13
279,0.91,0.09
280,0.96,0.04
281,0.88,0.12
282,0.96,0.04
283,0.99,0.01
284,0.86,0.14
285,0.84,0.16
286,1.0,0.0
287,0.79,0.21
288,1.0,0.0
289,0.87,0.13
290,0.9,0.1
291,0.87,0.13
292,0.82,0.18
293,0.84,0.16
294,0.87,0.13
295,0.99,0.01
296,0.88,0.12
297,0.86,0.14
298,0.85,0.15
299,0.98,0.02
300,0.88,0.12
301,0.9,0.1
302,0.96,0.04
303,0.85,0.15
304,0.87,0.13
305,0.88,0.12
306,0.95,0.05
307,0.82,0.18
308,1.0,0.0
309,1.0,0.0
310,0.87,0.13
311,0.87,0.13
312,0.85,0.15
313,0.82,0.18
314,0.88,0.12
315,0.9,0.1
316,0.85,0.15
317,0.99,0.01
318,0.87,0.13
319,1.0,0.0
320,0.87,0.13
321,1.0,0.0
322,0.87,0.13
323,0.88,0.12
324,0.86,0.14
325,0.86,0.14
326,0.85,0.15
327,1.0,0.0
328,0.87,0.13
329,0.92,0.08
330,0.98,0.02
331,0.87,0.13
332,0.96,0.04
333,0.87,0.13
334,0.85,0.15
335,0.87,0.13
336,0.96,0.04
337,0.87,0.13
338,0.85,0.15
339,0.85,0.15
340,0.86,0.14
341,0.87,0.13
342,0.84,0.16
343,0.87,0.13
344,0.86,0.14
345,0.86,0.14
346,0.95,0.05
347,0.87,0.13
348,0.86,0.14
349,0.92,0.08
350,0.99,0.01
351,0.77,0.23
352,0.96,0.04
353,0.86,0.14
354,0.87,0.13
355,0.86,0.14
356,0.88,0.12
357,0.85,0.15
358,0.82,0.18
359,0.87,0.13
360,0.87,0.13
361,0.86,0.14
362,0.97,0.03
363,0.85,0.15
364,0.87,0.13
365,0.86,0.14
366,0.87,0.13
367,0.87,0.13
368,0.85,0.15
369,0.85,0.15
370,0.85,0.15
371,0.86,0.14
372,0.86,0.14
373,0.98,0.02
374,0.85,0.15
375,0.84,0.16
376,0.87,0.13
377,0.98,0.02
378,0.96,0.04
379,0.86,0.14
380,0.84,0.16
381,0.86,0.14
382,0.87,0.13
383,0.85,0.15
384,1.0,0.0
385,0.87,0.13
386,0.8,0.2
387,0.87,0.13
388,0.84,0.16
389,0.61,0.39
390,0.9,0.1
391,0.85,0.15
392,0.81,0.19
393,0.95,0.05
394,0.89,0.11
395,0.88,0.12
396,1.0,0.0
397,1.0,0.0
398,0.85,0.15
399,0.88,0.12
400,0.85,0.15
401,0.84,0.16
402,0.8,0.2
403,0.94,0.06
404,0.89,0.11
405,0.88,0.12
406,1.0,0.0
407,0.84,0.16
408,0.85,0.15
409,0.85,0.15
410,1.0,0.0
411,0.83,0.17
412,0.87,0.13
413,0.88,0.12
414,0.84,0.16
415,0.86,0.14
416,0.87,0.13
417,0.88,0.12
418,0.85,0.15
419,0.85,0.15
420,0.83,0.17
421,1.0,0.0
422,0.95,0.05
423,0.92,0.08
424,0.85,0.15
425,0.86,0.14
426,0.83,0.17
427,0.74,0.26
428,0.88,0.12
429,0.81,0.19
