,slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
0,adamsst01,Steven Adams,[<Position.CENTER: 'CENTER'>],26,Team.OKLAHOMA_CITY_THUNDER,12,12,316,48,87,0,0,12,31,33,73,33,6,8,18,23
1,adebaba01,Bam Adebayo,[<Position.CENTER: 'CENTER'>],22,Team.MIAMI_HEAT,14,14,451,71,117,1,6,53,84,33,114,64,25,19,37,36
2,aldrila01,LaMarcus Aldridge,[<Position.CENTER: 'CENTER'>],34,Team.SAN_ANTONIO_SPURS,16,16,522,118,227,7,24,42,50,34,75,39,8,30,27,38
3,alexani01,Nickeil Alexander-Walker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21,Team.NEW_ORLEANS_PELICANS,15,0,226,36,110,21,59,8,10,2,33,35,5,2,20,26
4,allengr01,Grayson Allen,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.MEMPHIS_GRIZZLIES,5,0,84,11,35,5,19,10,12,1,9,8,2,0,7,10
5,allenja01,Jarrett Allen,[<Position.CENTER: 'CENTER'>],21,Team.BROOKLYN_NETS,15,12,384,62,93,0,1,32,56,43,98,13,9,21,20,36
6,aminual01,Al-Farouq Aminu,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29,Team.ORLANDO_MAGIC,14,2,302,21,65,8,26,17,25,21,54,13,12,6,14,24
7,anderky01,Kyle Anderson,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26,Team.MEMPHIS_GRIZZLIES,14,0,294,40,76,4,15,15,26,13,51,37,10,11,12,27
8,anderry01,Ryan Anderson,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31,Team.HOUSTON_ROCKETS,2,0,14,2,7,1,5,0,0,0,7,2,1,0,1,1
9,antetgi01,Giannis Antetokounmpo,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25,Team.MILWAUKEE_BUCKS,15,15,495,164,290,20,69,103,170,37,175,99,23,21,72,56
10,antetko01,Kostas Antetokounmpo,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22,Team.LOS_ANGELES_LAKERS,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
11,antetth01,Thanasis Antetokounmpo,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27,Team.MILWAUKEE_BUCKS,2,0,10,2,4,0,0,0,0,2,0,1,0,0,0,0
12,anthoca01,Carmelo Anthony,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35,Team.PORTLAND_TRAIL_BLAZERS,2,2,53,10,29,5,8,3,4,2,9,4,0,1,8,7
13,anunoog01,OG Anunoby,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22,Team.TORONTO_RAPTORS,13,13,382,62,108,26,50,8,12,12,58,20,13,14,14,33
14,arcidry01,Ryan Arcidiacono,[<Position.POINT_GUARD: 'POINT GUARD'>],25,Team.CHICAGO_BULLS,16,0,280,27,61,18,37,14,19,9,21,31,8,1,8,34
15,arizatr01,Trevor Ariza,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34,Team.SACRAMENTO_KINGS,11,0,227,15,42,12,32,4,5,4,34,9,9,0,7,19
16,augusdj01,D.J. Augustin,[<Position.POINT_GUARD: 'POINT GUARD'>],32,Team.ORLANDO_MAGIC,14,5,356,48,122,12,40,24,28,7,22,62,7,0,15,14
17,aytonde01,Deandre Ayton,[<Position.CENTER: 'CENTER'>],21,Team.PHOENIX_SUNS,1,1,33,9,14,0,0,0,0,3,8,0,1,4,0,2
18,bacondw01,Dwayne Bacon,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.CHARLOTTE_HORNETS,13,10,282,42,121,9,34,17,24,7,28,18,10,2,18,26
19,baglema01,Marvin Bagley,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20,Team.SACRAMENTO_KINGS,1,1,28,6,16,0,0,2,4,4,6,0,1,1,1,1
20,balllo01,Lonzo Ball,[<Position.POINT_GUARD: 'POINT GUARD'>],22,Team.NEW_ORLEANS_PELICANS,9,8,252,37,91,20,56,6,10,6,31,54,13,1,22,17
21,bambamo01,Mo Bamba,[<Position.CENTER: 'CENTER'>],21,Team.ORLANDO_MAGIC,12,0,161,19,56,5,21,2,6,14,36,5,3,13,13,25
22,bareajo01,J.J. Barea,[<Position.POINT_GUARD: 'POINT GUARD'>],35,Team.DALLAS_MAVERICKS,2,0,28,8,14,5,7,2,2,1,1,5,1,1,4,0
23,barneha02,Harrison Barnes,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27,Team.SACRAMENTO_KINGS,14,14,477,75,156,20,56,41,51,16,53,28,15,3,18,19
24,barrerj01,RJ Barrett,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19,Team.NEW_YORK_KNICKS,15,15,505,86,212,17,47,40,79,21,64,53,21,6,42,39
25,bartowi01,Will Barton,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29,Team.DENVER_NUGGETS,12,12,382,66,145,22,50,24,33,20,62,35,12,6,14,24
26,bateske01,Keita Bates-Diop,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24,Team.MINNESOTA_TIMBERWOLVES,4,0,38,3,6,2,4,3,3,1,5,0,1,2,2,3
27,batumni01,Nicolas Batum,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31,Team.CHARLOTTE_HORNETS,5,0,119,5,13,5,12,0,0,4,25,23,1,2,9,9
28,baynear01,Aron Baynes,[<Position.CENTER: 'CENTER'>],33,Team.PHOENIX_SUNS,12,11,288,64,114,23,52,23,32,18,49,37,4,9,13,47
